City,State,Country,Shape_id,Image,Date,Time
Lexington,NE,USA,4,No,08/11/2020,23:10:00
North Myrtle Beach,SC,USA,4,No,08/11/2020,22:20:00
Salt Lake City,UT,USA,4,No,08/11/2020,22:05:00
Kailua,HI,USA,4,No,08/11/2020,21:00:00
Cushing,OK,USA,4,No,08/11/2020,20:30:00
Omaha,NE,USA,4,No,08/11/2020,19:20:00
Dover,DE,USA,4,No,08/10/2020,23:00:00
Milford,NH,USA,4,No,08/10/2020,22:22:00
Haughton,LA,USA,4,No,08/10/2020,21:00:00
Pittsburgh,PA,USA,4,No,08/08/2020,23:30:00
Rockport,ME,USA,4,No,08/08/2020,23:00:00
Johnston,OH,USA,4,No,08/08/2020,22:30:00
Commack,NY,USA,4,No,08/08/2020,22:17:00
Mentor,OH,USA,4,No,08/08/2020,22:00:00
Merced,CA,USA,4,No,08/08/2020,21:15:00
Boise,ID,USA,4,No,08/08/2020,20:30:00
Pikesville,MD,USA,4,No,08/08/2020,20:00:00
Jerome,ID,USA,4,No,08/08/2020,15:00:00
Hillside,NJ,USA,4,No,08/08/2020,03:24:00
Kennebunkport,NY,USA,4,No,08/07/2020,22:20:00
Irving,TX,USA,4,No,08/07/2020,19:00:00
Orlando,FL,USA,4,No,08/07/2020,01:00:00
Antioch,CA,USA,4,No,08/06/2020,20:45:00
Dania Beach,FL,USA,4,No,08/06/2020,16:00:00
Holiday,FL,USA,4,No,08/06/2020,04:00:00
Warwick,RI,USA,4,No,08/05/2020,04:00:00
Mesa,AZ,USA,4,No,08/04/2020,20:30:00
Glasgow,KY,USA,4,No,08/04/2020,05:15:00
Collegeville,PA,USA,4,No,08/03/2020,21:00:00
Las Vegas,NV,USA,4,No,08/03/2020,18:00:00
Rochester,NH,USA,4,No,08/03/2020,13:00:00
Lemont Furnace,PA,USA,4,No,08/02/2020,23:30:00
Everret,PA,USA,4,No,08/02/2020,21:00:00
Redmond,OR,USA,4,No,08/02/2020,09:57:00
Satsuma,AL,USA,4,No,08/02/2020,01:45:00
Tahoe City,CA,USA,4,No,08/02/2020,00:00:00
Florence,SC,USA,4,No,08/01/2020,22:15:00
Roseburg,OR,USA,4,No,07/12/2020,23:00:00
West Bloomfiled,MI,USA,4,No,07/12/2020,20:34:00
Erie,PA,USA,4,No,07/11/2020,22:58:00
Irwin,PA,USA,4,No,07/11/2020,22:45:00
New Florence,PA,USA,4,No,07/11/2020,22:17:00
Peoria,IL,USA,4,No,07/11/2020,18:00:00
Colton,CA,USA,4,No,07/11/2020,12:00:00
Aidrie (Canada),AB,Canada,4,No,07/11/2020,03:11:00
Dash Point,WA,USA,4,No,07/10/2020,22:35:00
Deatsville,AL,USA,4,No,07/10/2020,22:00:00
Oakland,CA,USA,4,No,07/10/2020,21:05:00
Middletown,CT,USA,4,No,07/08/2020,21:17:00
Puyallup,WA,USA,4,No,07/08/2020,20:30:00
California City,CA,USA,4,No,07/07/2020,07:00:00
Harper Woods,MI,USA,4,No,07/06/2020,06:00:00
Temperance,MI,USA,4,No,07/05/2020,19:30:00
Virginia Beach,VA,USA,4,No,07/05/2020,19:30:00
Wales,MI,USA,4,No,07/05/2020,17:40:00
Spokane,WA,USA,4,No,07/05/2020,00:00:00
Henderson,NV,USA,4,No,07/04/2020,23:02:00
Terre Haute,IN,USA,4,No,07/04/2020,22:32:00
Mineral,VA,USA,4,No,07/04/2020,22:30:00
Salina,KS,USA,4,No,07/04/2020,22:30:00
Palmetto,FL,USA,4,No,07/04/2020,22:00:00
Lafollette,TN,USA,4,No,07/04/2020,22:00:00
Gassaway,WV,USA,4,No,07/04/2020,21:45:00
Hamden,CT,USA,4,No,07/04/2020,21:43:00
Denver,CO,USA,4,No,07/04/2020,21:34:00
Anniston,AL,USA,4,No,07/04/2020,21:30:00
Charleston,WV,USA,4,No,07/04/2020,21:30:00
Bellmawr,NJ,USA,4,No,07/04/2020,21:30:00
Winchester,TN,USA,4,No,07/04/2020,21:00:00
Lake Stevens,WA,USA,4,No,07/04/2020,20:30:00
Louisville,KY,USA,4,No,07/04/2020,20:00:00
Huntsville,AL,USA,4,No,07/04/2020,20:00:00
